Voltage_measured,Current_measured,Temperature_measured,Current_charge,Voltage_charge,Time
3.6896093034686,-0.0012236007423697,7.119952819070842,0.0,0.003,0.0
3.970336716349871,1.508947866751699,7.102748488811715,1.5,4.672,2.5779999999999994
3.9940361358449614,1.508218706622166,7.117448295111013,1.5,4.758,8.311999999999998
4.009898700660044,1.5103131150290352,7.117947341414219,1.5,4.769,14.061999999999998
4.023419204252778,1.5109044217944592,7.147389719722552,1.5,4.78,19.812
4.035328751191329,1.5114026929640831,7.158788644011185,1.5,4.791,25.531
4.046265811851224,1.509994740812659,7.179220931435848,1.5,4.802,31.312
4.056403556320266,1.5097507185977508,7.20338212312929,1.5,4.812,37.047
4.065981812805216,1.5082566512575268,7.245798735031437,1.5,4.823,42.781
4.074783518977832,1.507965778380325,7.266530748420424,1.5,4.829,48.5
4.083343535856237,1.5112285284343223,7.284560318198937,1.5,4.839,54.266
4.09116445299153,1.509013801169069,7.300639493032637,1.5,4.845,59.969
4.09896920592755,1.5102958475711488,7.3065727885161404,1.5,4.856,65.687
4.10657959613087,1.509887841733082,7.287026294906211,1.5,4.861,71.422
4.114071650249439,1.5106220653759257,7.153731272549821,1.5,4.872,77.172
4.121191966719789,1.5105963424112152,6.901360515468552,1.5,4.877,82.875
4.128392117669588,1.5093791462496495,6.694844891187034,1.498,4.883,88.594
4.135475972428043,1.509875969007121,6.552138965504531,1.498,4.888,94.297
4.142719373499366,1.5107144046781822,6.462260604694167,1.5,4.899,100.0
4.149776303617043,1.5138247936687883,6.604329501529136,1.5,4.904,105.766
4.1565138746959125,1.5106156891230853,6.673693420467773,1.5,4.91,111.5
4.163380785418442,1.509581408520173,6.64507134544873,1.5,4.921,117.203
4.1703875012959335,1.510872472838357,6.515119473213068,1.5,4.926,122.906
4.177223243689441,1.510425805918348,6.427193141671464,1.5,4.931,128.625
4.1840804403580405,1.5105680565948556,6.394250423901957,1.5,4.942,134.312
4.190611295632235,1.5104654786843723,6.358357632428452,1.5,4.942,140.016
4.197316480759521,1.5127091612175525,6.335311620580872,1.5,4.953,145.781
4.204267153201978,1.5102180296440255,6.3405408997161965,1.5,4.958,151.484
4.211095545007559,1.5127657574817293,6.209455381424679,1.5,4.969,157.594
4.213491695316161,1.48986368169589,6.209907910473847,1.479,4.958,163.406
4.214750928196396,1.466434891939029,6.13830936278072,1.455,4.948,169.281
4.215092833389862,1.441778181584929,6.117886924022756,1.432,4.937,175.109
4.215198588236022,1.4178564305674295,6.064070493190777,1.41,4.926,180.984
4.214744315575183,1.398840678603906,6.033008417915837,1.388,4.915,186.812
4.214429413050955,1.381121482602936,5.9658884970114885,1.368,4.904,192.703
4.213388342179992,1.3575526443601238,5.908219813957031,1.346,4.893,198.516
4.212242599039124,1.3360583102245889,5.835502747687098,1.327,4.883,204.391
4.210662500990897,1.317386926868381,5.841323395923077,1.308,4.872,210.234
4.210747843697653,1.3051091108522996,5.815796970872508,1.297,4.866,216.125
4.210890513865112,1.2946307831289043,5.77746905471202,1.286,4.861,221.937
4.210855097000259,1.2837912187097853,5.707105177070477,1.276,4.856,227.781
4.210738895150951,1.2730517909705263,5.64851935279184,1.265,4.85,233.609
4.210502259897289,1.2620409008625757,5.601409889459259,1.254,4.845,239.484
4.210180212027861,1.2523547093130565,5.619951528403903,1.244,4.839,245.297
4.210152010265678,1.2430968897689365,5.530873733598222,1.233,4.834,251.172
4.209720323226889,1.2292590242360473,5.4576830885282135,1.224,4.829,257.0
4.209254127954102,1.223121207735818,5.43352062224032,1.213,4.823,262.875
4.208808818534789,1.2112059591748765,5.487118254205091,1.204,4.818,268.766
4.20818797917238,1.202878115302123,5.686461686594812,1.194,4.812,274.578
4.207263908790581,1.1929044703975125,5.867894736834925,1.185,4.807,280.422
4.206342169042344,1.182057467639045,6.047484577340031,1.175,4.802,286.281
4.207185735915688,1.182777242822647,5.87722420280469,1.175,4.802,292.156
4.207760978282203,1.1804594535143504,5.933985499925156,1.174,4.802,297.953
4.2070185360892935,1.1719276841513508,5.9688613227453535,1.164,4.796,303.828
4.205886857357734,1.1637899672316152,6.0395227521397,1.155,4.791,309.656
4.20642326811887,1.1599808801027385,6.10980006063972,1.155,4.791,315.516
4.206826023868177,1.1608704937782024,6.164296713541491,1.153,4.791,321.297
